CUSTOMER_ID,propensity_score,Strategy
JJ00544180,6.044024e-07,Reminder
UI00421677,6.0566435e-07,Reminder
CQ00368774,6.273442e-07,Reminder
CY00742853,6.330444e-07,Reminder
DU00907961,6.422748e-07,Reminder
XA00812843,6.425465e-07,Reminder
RH00426422,6.5385154e-07,Reminder
FQ00647013,6.6153905e-07,Reminder
JY00765390,6.639148e-07,Reminder
MP00371831,6.711161e-07,Reminder
MP00371831,6.711161e-07,Reminder
CQ00368774,6.7947843e-07,Reminder
UW01116166,6.8357997e-07,Reminder
RB00863646,6.851833e-07,Reminder
WC00830419,6.851833e-07,Reminder
RB00863646,6.851833e-07,Reminder
CX00755028,6.851833e-07,Reminder
PH00453968,6.851833e-07,Reminder
CX00755028,6.851833e-07,Reminder
DW00824812,6.9804923e-07,Reminder
DW00824812,6.9804923e-07,Reminder
LL00449585,7.142182e-07,Reminder
VD00268909,7.14277e-07,Reminder
JJ00544180,7.2030946e-07,Reminder
BH00664467,7.373425e-07,Reminder
NA00341727,7.479012e-07,Reminder
QC00402295,7.584837e-07,Reminder
VK00363040,7.584837e-07,Reminder
QC00402295,7.5848374e-07,Reminder
QW00373495,7.5848374e-07,Reminder
VK00363040,7.5848374e-07,Reminder
NN00284498,7.6192083e-07,Reminder
MF00751629,7.6815365e-07,Reminder
MF00751629,7.681537e-07,Reminder
ET00760925,7.763614e-07,Reminder
GY00870657,7.7993496e-07,Reminder
CL00801239,7.851125e-07,Reminder
TE00426221,7.9223963e-07,Reminder
CL00874559,7.950705e-07,Reminder
ED00881627,7.950705e-07,Reminder
EX00796947,7.950705e-07,Reminder
ED00881627,7.950705e-07,Reminder
EX00796947,7.9507055e-07,Reminder
FL00706620,8.0002434e-07,Reminder
HG00808145,8.038107e-07,Reminder
BH00664467,8.1679826e-07,Reminder
YG00416947,8.1807605e-07,Reminder
NM00371865,8.1807605e-07,Reminder
YG00416947,8.180761e-07,Reminder
YG00682452,8.180761e-07,Reminder
NM00371865,8.180761e-07,Reminder
ET00760925,8.180761e-07,Reminder
BD00837446,8.3472753e-07,Reminder
FP00643822,8.4559935e-07,Reminder
FP00643822,8.455994e-07,Reminder
GA00848622,8.654088e-07,Reminder
XY00469455,8.6640875e-07,Reminder
XY00469455,8.6640875e-07,Reminder
GB00553814,8.676948e-07,Reminder
UL00850865,8.6883284e-07,Reminder
QH00819580,8.6979395e-07,Reminder
QH00819580,8.69794e-07,Reminder
VU00627133,8.7510574e-07,Reminder
AP00288362,8.7953987e-07,Reminder
FX00642748,8.795399e-07,Reminder
EJ00628327,8.96088e-07,Reminder
YW00850220,8.96088e-07,Reminder
PT00404728,8.96088e-07,Reminder
JU00502525,8.96088e-07,Reminder
TV00808677,8.96088e-07,Reminder
FD00835426,8.96088e-07,Reminder
AO00749011,8.96088e-07,Reminder
FQ00459436,8.96088e-07,Reminder
FQ00459436,8.9608807e-07,Reminder
PT00404728,8.9608807e-07,Reminder
JU00502525,8.9608807e-07,Reminder
FD00835426,8.9608807e-07,Reminder
YW00850220,8.9608807e-07,Reminder
TV00808677,8.9608807e-07,Reminder
EJ00628327,8.9608807e-07,Reminder
AO00749011,8.9608807e-07,Reminder
FE00421460,9.008315e-07,Reminder
EC00357266,9.029747e-07,Reminder
YG00682452,9.4718234e-07,Reminder
FW00874148,9.486389e-07,Reminder
OH00550083,9.486389e-07,Reminder
RI00681312,9.486389e-07,Reminder
KL00420998,9.486389e-07,Reminder
KL00420998,9.486389e-07,Reminder
NK00484257,9.486389e-07,Reminder
MM00416598,9.486389e-07,Reminder
OH00550083,9.486389e-07,Reminder
FW00874148,9.486389e-07,Reminder
NK00484257,9.4863896e-07,Reminder
UY00420464,9.4998313e-07,Reminder
AP00767548,9.5025695e-07,Reminder
PH00453968,9.668069e-07,Reminder
YF00431838,9.776629e-07,Reminder
KQ00665117,9.833387e-07,Reminder
UP00676859,9.833387e-07,Reminder
UP00676859,9.833387e-07,Reminder
TS00881842,1.0281226e-06,Reminder
EE00701720,1.0281226e-06,Reminder
GA00848622,1.0341547e-06,Reminder
HH00377364,1.0487789e-06,Reminder
QW00373495,1.0524517e-06,Reminder
QX00700769,1.054538e-06,Reminder
YC00794851,1.054538e-06,Reminder
DU00907961,1.054538e-06,Reminder
VU00627133,1.0579693e-06,Reminder
JM00291056,1.0769882e-06,Reminder
FQ00647013,1.1030725e-06,Reminder
KL00641803,1.1101525e-06,Reminder
WZ00964072,1.1299062e-06,Reminder
YC00794851,1.132095e-06,Reminder
FM00674490,1.1422314e-06,Reminder
NA00341727,1.1734061e-06,Reminder
DR00502895,1.1786512e-06,Reminder
DR00502895,1.1786512e-06,Reminder
QR00857453,1.1786512e-06,Reminder
QR00857453,1.1786512e-06,Reminder
XX00877877,1.1837996e-06,Reminder
XV00442039,1.1837996e-06,Reminder
FE00421460,1.2116092e-06,Reminder
BE00625780,1.2303873e-06,Reminder
KA00853283,1.2303873e-06,Reminder
XY00850869,1.2303873e-06,Reminder
WT00742775,1.2303873e-06,Reminder
QR00702461,1.2303873e-06,Reminder
FX00642748,1.2303873e-06,Reminder
DE00728903,1.2303873e-06,Reminder
ST00310309,1.2303873e-06,Reminder
KA00853283,1.2303873e-06,Reminder
DE00728903,1.2303873e-06,Reminder
XQ00369325,1.2303873e-06,Reminder
ST00310309,1.2303873e-06,Reminder
EY00635526,1.2303873e-06,Reminder
HW00844105,1.2303873e-06,Reminder
EY00635526,1.2303873e-06,Reminder
XQ00369325,1.2303873e-06,Reminder
HW00844105,1.2303873e-06,Reminder
UR00851578,1.2303873e-06,Reminder
QR00702461,1.2303873e-06,Reminder
